"stock_id","trailing_pe","forward_pe","price_to_book","price_to_sales","peg_ratio","profit_margin","return_on_equity","return_on_assets","revenue_growth","eps_growth","dividend_yield","debt_to_equity","current_ratio","market_cap","operating_cash_flow","free_cash_flow","created_at"
"910000","17.910593","16.482279","18.282785","2.8575625","0","0.16981001","0.91850996","0.05929","0.001","-0.23","0.027671315","350.77","1.411","70224601088","1819000064","1678875008","2025-04-19"
"910001","17.393938","15.513513","4.8379436","2.373542","0","0.13976","0.28627002","0.13533","-0.077","-0.201","0.020680876","12.132","1.552","9062420480","581800000","390000000","2025-04-19"
"910002","17.143978","25.38372","4.7587557","5.364661","0","0.31886","0","0","0.04","0.082","0.017579028","31.889","0","227161227264","0","0","2025-04-19"
"910003","72.38075","14.261336","91.8206","5.43217","0","0.07594","0.62292","0.084910005","0.056","0","0.036637932","2021.968","0.66","306015862784","18805999616","19977500672","2025-04-19"
"910004","23.257826","20.06752","6.0478516","2.629493","0","0.114300005","0.26965","0.11576","0.054","0.068","0.020088347","26.706","1.477","176758439936","10407318528","8601244672","2025-04-19"
"910005","23.038307","16.973236","11.5868845","6.7458615","0","0.30635","0.47284","0.17194","0.103","1.921","0.0","50.118","1.185","148658552832","9363999744","8357374976","2025-04-19"
"910006","87.5","17.156862","2.4653442","5.5130935","0","0.06364","0.02893","0.019019999","0.242","-0.277","0.0","4.032","2.616","142155120640","3040999936","3506249984","2025-04-19"
"910007","4.295359","5.0147786","1.9863415","0.5902609","0","0.13675","0.10055","0.02733","-0.002","0","0.06957831","351.227","0.797","7247223296","2752000000","-6709125120","2025-04-19"
"910008","11.156802","14.984658","2.2640874","3.0983443","0","0.28757998","0.22639999","0.03384","0.43","6.097","0.018632384","37.796","1.824","58642362368","2707000064","4852624896","2025-04-19"
"910009","23.504587","18.138054","4.8499765","4.4722724","0","0.19271","0.20614","0.08392999","0.014","-0.086","0.009308666","58.736","2.197","29217357824","1696999936","1090625024","2025-04-19"
"910010","15.222929","18.553282","3.5039318","4.8600245","0","0.31877002","0.22396","0.048249997","-0.022","0.013","0.027093219","80.976","1.113","58488938496","3831800064","-3522674944","2025-04-19"
"910011","27.420923","25.044443","8.346911","6.3074236","0","0.23852","0.31948","0.07671","0.118","0","0.0","27.271","1.691","70025019392","4518000128","3145625088","2025-04-19"
"910012","22.464832","10.997006","2.2591262","2.68934","0","0.12651","0.10657","0.03924","0.025","-0.132","0.0","95.003","1.233","10733607936","1519170944","642833152","2025-04-19"
"910013","0","28.755434","0.8050454","1.1575797","0","-0.21933001","-0.11432","-0.02142","-0.477","0","0.030625833","35.769","1.954","6224914432","702067968","-1232473600","2025-04-19"
"910014","43.244442","22.627905","0.7493045","4.3110824","0","0.10339","0.02269","0.0141900005","0.05","0","0.06729772","56.93","2.576","13465462784","1504524032","1419939840","2025-04-19"
"910015","30.500002","16.706627","3.2862349","3.1380198","0","0.10537","0.112629995","0.06866","0.04","-0.163","0.0","3.097","1.223","12548978688","738230976","620710528","2025-04-19"
"910016","18.526392","16.219513","7.2623286","2.8903008","0","0.1584","0.42391","0.11255","0.054","0.215","0.015344042","143.313","2.041","10902792192","675000000","465737504","2025-04-19"
"910017","22.60223","18.823528","2.2282488","3.9231043","0","0.17332001","0.10014","0.02645","0.016","0.24","0.031777557","151.585","0.436","15617878016","1167000064","-1091374976","2025-04-19"
"910018","11.457328","10.229112","2.6534173","0.8047603","0","0.0728","0.23586","0.03618","0.113","0.295","0.018945634","38.943","0.391","51589963776","8931000320","7449750016","2025-04-19"
"910019","18.800995","16.870537","5.678011","5.2989655","0","0.28604","0.32908002","0.1674","0.118","0.283","0.0052175047","8.655","1.837","1854733287424","125298999296","56580751360","2025-04-19"
"910020","19.074627","17.135197","5.760649","5.2989726","0","0.28604","0.32908002","0.1674","0.118","0.283","0.005144695","8.655","1.837","1854735908864","125298999296","56580751360","2025-04-19"
"910021","8.892966","10.871028","-43.927494","4.7973747","0","0.55097","0","0.20511","0.016","0.475","0.069844596","0","0.514","98077532160","8753000448","4630249984","2025-04-19"
"910022","31.269928","28.066666","6.39391","2.8713543","0","0.09287","0.24290001","0.07438","0.105","0.883","0.0","54.342","1.064","1831806435328","115877003264","44635873280","2025-04-19"
"910023","17.072727","11.886076","3.5839698","1.0023445","0","0.05894","0.20721","0.05138","-0.003","0.216","0.054594595","197.441","1.259","13571743744","1252000000","691500032","2025-04-19"
"910024","22.319004","20.050814","2.197937","3.6388705","0","0.16139","0.100080006","0.026630001","0.205","0.31","0.027346939","153.508","0.663","26651088896","2763000064","-2150874880","2025-04-19"
"910025","19.302868","18.286928","2.13034","2.9164329","0","0.15045","0.113859996","0.02861","0.026","0.975","0.033704683","170.451","0.445","57515847680","6804299776","-2010387456","2025-04-19"
"910026","17.549582","16.62103","5.64602","2.8391802","0","0.16561002","0.34273","0.03727","0.088","0.06","0.011545153","169.204","1.747","176168304640","0","0","2025-04-19"
"910027","19.936117","12.0924","1.1566973","1.7525934","0","-0.05195","0.057540003","0.00754","0.088","8.656","0.019266393","23.008","0.662","47367340032","3272999936","16325749760","2025-04-19"
"910028","32.269566","32.792343","30.771145","10.292199","0","0.22267","0.31768","0.04532","-0.086","13.483","0.029724771","455.544","0.449","104231157760","5290500096","4369562624","2025-04-19"
"910029","27.532467","26.035088","2.7996829","6.178401","0","0.22438","0.10443","0.03457","0.164","0.398","0.020512296","136.702","0.386","28939632640","2044999936","-1192625024","2025-04-19"
"910030","14.06479","12.025887","8.5453615","2.4830608","0","0.18972","0.68314004","0.02264","0.115","1.841","0.01249946","70.39","2.601","44511350784","6594999808","2836875008","2025-04-19"
"910031","26.612143","21.617807","3.7706678","5.246109","0","0.19826001","0.1497","0.07501","0.018","0.129","0.0070653544","24.075","1.24","36414185472","1828848000","1517073024","2025-04-19"
"910032","36.63012","13.415094","25.332542","4.4604254","0","0.122370005","0.67553","0.064","0.109","-0.183","0.031842627","1035.886","1.257","149085257728","11489999872","13725875200","2025-04-19"
"910033","33.885418","30.120369","8.035074","5.1790023","0","0.15923999","0.26709998","0.10873","0.298","0.451","0.008491586","73.865","2.372","78838398976","2814700032","1635900032","2025-04-19"
"910034","56.136944","23.377985","2.4928582","9.362731","0","0.16747999","0.04429","0.02616","-0.036","-0.154","0.021315297","21.725","1.93","87425687552","3840506112","2997512704","2025-04-19"
"910035","46.29052","27.49682","4.354029","10.427385","0","0.22622","0.10032","0.058369998","0.096","0.029","0.0","14.222","3.008","26535704576","795740032","670905344","2025-04-19"
"910036","29.416334","21.12766","12.965277","5.05548","0","0.16906999","0.9564","0.06616","0.229","0.438","0.0070811654","278.258","1.019","79360925696","3035000064","3406625024","2025-04-19"
"910037","7.0969167","5.858182","1.1148789","0.61511904","0","0.08488","0.22242","0.07467","0.245","-0.8","0.06506181","100.865","1.152","5826407424","3620000000","1848249984","2025-04-19"
"910038","17.296043","14.950473","4.523818","2.793783","0","0.1768","0.22670001","0.01844","-0.526","-0.461","0.014775178","103.066","1.507","72325455872","3252999936","0","2025-04-19"
"910039","31.266665","23.70397","44.384853","7.4768877","0","0.24295","1.3652","0.22518998","0.04","0.071","0.005096","145.0","0.923","2959053160448","108293996544","93833871360","2025-04-19"
"910040","17.945171","14.18576","5.9960747","4.0411854","0","0.22952999","0.35186002","0.15558","0.068","-0.413","0.011578262","35.372","2.675","111678152704","7277000192","3825750016","2025-04-19"
"910041","7.4295974","7.4083095","1.3817337","0.60186946","0","0.09064999","0.17297001","0.05511","-0.002","-0.704","0.0","97.832","1.525","11864652800","2446000128","1540749952","2025-04-19"
"910042","8.272565","10.240045","1.7359587","1.9942677","0","0.24725","0.22014","0.044499997","0.144","-0.599","0.0","13.886","1.073","34780028928","6672999936","10380000256","2025-04-19"
"910043","13.10137","9.431952","1.0311146","0.26845622","0","0.02105","0.07587","0.0233","-0.064","0.004","0.043355733","51.438","1.39","22961059840","2790000128","786625024","2025-04-19"
"910044","31.92825","7.3175745","8.985361","12.765813","0","0.40725","0.33137","0.15336001","0.253","0.305","0.0","0.597","4.359","89400852480","3708235008","2822258944","2025-04-19"
"910045","50.727276","29.18617","4.083906","7.704768","0","0.13385999","0.09488","0.030280001","0.114","0","0.0072145737","67.281","1.508","84193083392","2582899968","3038374912","2025-04-19"
"910046","13.068465","10.545201","1.881066","0.80930394","0","0.064","0.15332","0.01893","0.041","0.103","0.015552753","42.013","0.437","9612507136","1332700032","901337472","2025-04-19"
"910047","18.221476","12.120536","1.8666208","1.5980585","0","0.089490004","0.10226","0.04123","0.009","0.865","0.04108068","121.359","0.665","195500081152","38770999296","15880875008","2025-04-19"
"910048","22.5702","22.064425","1.9565568","5.97841","0","0.25902998","0.09009","0.03504","0.015","0.13","0.02101593","66.587","1.556","25006008320","1770488064","-1564768256","2025-04-19"
"910049","50.776905","28.264706","21.184683","9.014372","0","0.18136999","0.49687","0.085260004","0.116","0.074","0.0","97.634","0.676","55267110912","1607000064","2106375040","2025-04-19"
"910050","30.581856","26.98068","23.5","5.9953136","0","0.19764","0.83716005","0.054569997","0.081","0.097","0.019514516","86.202","0.999","119327129600","4773400064","4454924800","2025-04-19"
"910051","24.213612","20.67158","-13.537565","3.2283473","0","0.13961","0","0.13438","0.024","-0.053","0.0","0","0.842","60281368576","3135281920","1432363648","2025-04-19"
"910052","26.72536","36.711193","2.4197502","9.767449","0","0.36499","0.09122","0.02898","0.054","0.166","0.033989806","69.094","0.5","28955006976","1607878016","1233305856","2025-04-19"
"910053","19.570448","16.240494","5.8962593","1.5408639","0","0.08051","0.31751","0.085880004","0.036","0.216","0.020517396","146.084","1.075","13491341312","938800000","779512512","2025-04-19"
"910054","116.32641","90.24678","18.417711","20.916113","0","0.18105","0.19122","0.012180001","0.336","1.369","0.0","31.41","2.303","43558346752","408312000","392341376","2025-04-19"
"910055","13.057047","15.140079","2.2799718","1.3846893","0","0.10705","0.18469","0.0563","0.077","1.68","0.022029897","39.261","1.325","38534520832","3332000000","1923124992","2025-04-19"
"910056","34.583942","13.422096","2.3389447","1.1343042","0","0.33980998","0.08805","0.04004","-0.008","0","0.016995965","101.467","0.999","13379118080","115000000","337249984","2025-04-19"
"910057","11.167165","10.221312","1.0281427","2.9021435","0","0.28582","0.094560005","0.00841","0.057","0.108","0.027323866","0","0","282822574080","0","0","2025-04-19"
"910058","0","10.031249","2.119589","1.393228","0","-0.06102","-0.042090002","0.02053","0.01","0","0.037383176","191.472","1.36","14818373632","1019000000","319000000","2025-04-19"
"910059","33.45286","12.63255","2.263702","2.7643702","0","0.08367","0.06835","0.03698","0.098","0.078","0.019411178","74.422","1.13","57056600064","3649999872","3359000064","2025-04-19"
"910060","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025-04-19"
"910061","14.4789715","9.059941","4.665362","0.3154161","0","0.02232","0.31633","0.072859995","-0.048","-0.746","0.06305551","144.836","1.026","13098599424","2098000000","1455874944","2025-04-19"
"910062","49.08163","21.963469","3.6544597","6.3578014","0","0.13222","0.07825","0.05683","0.09","0.27","0.0064032017","19.01","3.936","7604032512","304716992","272247872","2025-04-19"
"910063","10.609123","7.1194477","1.0345399","1.7943075","0","0.16869","0.10358","0.05289","0.029","0.068","0.0","40.181","1.349","17361539072","2875500032","3266925056","2025-04-19"
"910064","21.277454","17.83666","2.857143","6.4788914","0","0.30093","0","0","0.116","-0.04","0.02368962","28.816","0","135765172224","0","0","2025-04-19"
"910065","39.512123","22.365353","12.205374","12.997285","0","0.2076","0.26601","0","-0.114","-0.274","0.031303138","68.543","0","159272697856","0","0","2025-04-19"
"910066","12.453506","11.690658","1.4453405","2.9015687","0","0.25101998","0.11229","0.01082","0.061","0.19","0.024164796","0","0","54616227840","0","0","2025-04-19"
"910067","0","344.46808","-30.991577","1.8313316","0","-0.17764999","0","-0.04269","-0.308","0","0.0","0","1.319","121814687744","-12080000000","-9692999680","2025-04-19"
"910068","26.455198","21.793232","-37.48154","6.3218365","0","0.24778","0","0.18225001","0.144","3.811","0.0077078254","0","1.31","150074081280","8322999808","7449750016","2025-04-19"
"910069","76.096","34.093193","6.4426985","8.400857","0","0.11071","0.08889","0.05035","0.224","0.121","0.0","51.029","1.081","140689145856","3435000064","1807624960","2025-04-19"
"910070","0","7.002845","6.1147685","2.0739384","0","-0.18526","-0.38946998","0.06546","0.075","-0.959","0.049027555","312.772","1.253","100171227136","15189999616","16890250240","2025-04-19"
"910071","79.530235","27.713129","2.8873205","14.7442","0","0.18473","0.14845","0.069759995","0.164","1.727","0.012799953","166.032","1.004","803986472960","21259999232","25262374912","2025-04-19"
"910072","36.909233","25.224598","12.383828","4.1297836","0","0.11359","0.35341","0.08861","0.131","1.026","0.01428025","173.54","1.354","27598931968","1039600000","1067387520","2025-04-19"
"910073","33.878613","28.660147","5.221846","7.130419","0","0.21074","0.16678","0.052849997","0.152","-0.219","0.0045454544","63.073","1.097","33598533632","1174000000","859124992","2025-04-19"
"910074","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025-04-19"
"910075","12.907285","10.037768","3.091361","0.81101876","0","0.06572","0.23877001","0.09458","-0.08","-0.458","0.0","100.846","1.767","13301106688","1872691968","1272958080","2025-04-19"
"910076","9.882353","8.490322","1.0670702","0.19918117","0","0.02141","0.10438","0.03886","-0.093","-0.023","0.035611417","65.02","2.146","10578113536","1900000000","347500000","2025-04-19"
"910077","709.7778","34.160427","1.8665265","3.3333333","0","0.00422","0.01044","0.02421","0.045","0","0.062153164","213.956","1.057","11267729408","1234500992","1000691648","2025-04-19"
"910078","23.611399","19.147058","6.2803197","0.6079117","0","0.02627","0.29655","0.08492","-0.009","3.821","0.027375918","101.108","1.277","10775208960","509084000","390621760","2025-04-19"
"910079","67.589615","37.988323","15.247861","15.379858","0","0.22740999","0.26133","0.11858","0.269","0.05","0.0","56.202","2.931","71381983232","1260551040","1004660608","2025-04-19"
"910080","0","19.037313","1.2968329","0.48096502","0","-0.024719998","-0.04639","0.043119997","-0.009","0","0.0","589.077","0.769","5408451584","1075000064","-52750000","2025-04-19"
"910081","74.85333","69.30864","2.6092818","7.853902","0","0.10498","0.03487","0.020680001","-0.003","-0.817","0.03738657","73.492","0.107","12215951360","774876992","677357120","2025-04-19"
"910082","21.69364","11.005864","2.8603","1.1059166","0","0.05149","0.13423","0.064959995","0.093","-0.148","0.040705565","205.496","0.932","11190770688","1238000000","493375008","2025-04-19"
"910083","14.068281","10.393998","1.1092938","2.2753043","0","0.17337999","0.07987","0.0098","0.135","0.552","0.014994378","0","0","62334238720","18158999552","0","2025-04-19"
"910084","25.085663","15.591435","-10.898869","0.1464019","0","0.0058999998","0","0.0301","-0.038","0.087","0.015011908","0","1.015","32541626368","8000000","595875008","2025-04-19"
"910085","20.121494","17.132626","1.5862372","0.34962058","0","0.01775","0.08128","0.01806","0.068","0.788","0.0","311.168","2.31","9861859328","624438976","354984000","2025-04-19"
"910086","11.606452","10.459302","2.5685322","0.9586978","0","0.08071","0.2587","0.048130002","0.075","0","0.0","309.246","0.257","24373932032","5080000000","951500032","2025-04-19"
"910087","49.098362","19.703949","3.7365105","2.3015602","0","0.24922001","0.103590004","0.04147","0.193","5.074","0.013431324","89.232","1.253","51752882176","563000000","5363749888","2025-04-19"
"910088","13.350725","13.284425","7.215193","2.1699376","0","0.16652","0.55327","0.09675","-0.05","0.043","0.019059764","200.118","1.416","140631490560","12035000320","5219874816","2025-04-19"
"910089","30.106796","23.64597","5.3099318","5.5513086","0","0.18681","0.1851","0.09678","0.143","-0.073","0.010827177","37.37","1.777","22729834496","1100600064","766162496","2025-04-19"
"910090","37.4586","19.603334","4.161625","0.9860816","0","0.02706","0.113479994","0.03862","0.162","0.021","0.0","63.74","1.074","35269181440","1708000000","1684875008","2025-04-19"
"910091","19.00502","14.967392","8.536888","0.9504754","0","0.05133","0.49043998","0.07495","0.033","-0.108","0.016703635","271.148","1.347","19958747136","1277299968","1079374976","2025-04-19"
"910092","40.672337","17.526894","245.28656","0.1832011","0","0.00461","1.98149","0.02861","0.128","-0.188","0.007312614","2689.426","0.917","55545262080","-119254000","-164148128","2025-04-19"
"910093","9.619652","8.622159","1.1397777","0.20460044","0","0.02246","0.12557","0.03701","0.023","5.289","0.0","73.289","1.109","30110842880","154000000","653124992","2025-04-19"
"910094","23.518986","21.356321","2.270561","2.806356","0","0.1179","0.10023","0.029649999","0.037","0.292","0.02202284","196.803","1.083","24255334400","2139000064","-3061250048","2025-04-19"
"910095","11.112761","12.119741","2.552481","2.1004682","0","0.20518999","0.18503","0.07745","-0.03","0.197","0.026990553","42.756","3.081","12468379648","2271000064","1585500032","2025-04-19"
"910096","530.25","10.316149","1.5668169","1.2861073","0","0.00548","0.0070599997","0.0434","-0.011","0","0.0","79.277","1.411","5208720384","734577024","517329984","2025-04-19"
"910097","23.075758","20.039474","3.5587437","6.7570143","0","0.31708","0","0","0.181","0.402","0.013474241","121.987","0","138282303488","0","0","2025-04-19"
"910098","9.690108","9.473449","3.0868144","0.8738688","0","0.09228","0.34004003","0.055609997","0.016","0.386","0.0","493.104","0.314","48137064448","14430000128","2851624960","2025-04-19"
"910099","14.184155","12.488224","1.6012218","1.231389","0","0.09031","0.11266","0.056160003","0.086","0.434","0.048167847","19.334","1.061","240820273152","31491999744","16345624576","2025-04-19"
"910100","43.396393","36.770992","17.907063","5.770512","0","0.1356","0.45673","0.14156","0.131","0.176","0.0","124.212","1.523","65286725632","2105075968","1169095168","2025-04-19"
"910101","12.581057","12.096146","1.7874959","2.047737","0","0.16591999","0.14597","0.0301","0.091","-0.22","0.012593398","30.289","0.387","114431623168","16181999616","12631749632","2025-04-19"
"910102","44.45992","28.24933","5.941359","4.2463055","0","0.09584","0.14247","0.083380006","0.035","0.231","0.011023698","55.162","1.703","25932611584","1156199936","786350016","2025-04-19"
"910103","27.23845","10.540549","2.202761","0.36217433","0","0.0139","0.086260006","0.03925","0.284","0.384","0.016998542","77.521","0.843","89500884992","10362999808","3789625088","2025-04-19"
"910104","9.101171","18.040928","1.4842085","1.8262464","0","0.20216998","0.17608","0.052529998","-0.244","-0.658","0.024525017","6.279","0.628","20704155648","2648999936","5477250048","2025-04-19"
"910105","47.85116","43.965813","18.0872","8.190812","0","0.17532","0.40296","0.15531999","0.084","0.166","0.0073661585","58.617","1.721","83083214848","2223195904","1619095040","2025-04-19"
"910106","24.45614","14.297435","4.8707194","4.0946074","0","0.16958","0.20019","0.065560006","0.094","-0.078","0.028694406","71.21","0.867","221829431296","13603000320","13290500096","2025-04-19"
"910107","9.992102","8.79694","0.6087467","1.6448575","0","0.18622999","0.06435","0.00541","0.02","0.206","0.03558776","0","0","118132023296","0","0","2025-04-19"
"910108","11.253968","9.160207","0.6819013","2.1803443","0","0.21754","0.06367","0.00703","-0.003","0.117","0.047377326","0","0","15515330560","0","0","2025-04-19"
"910109","37.983696","19.174212","-419.75977","2.4032795","0","0.063779995","2.7610598","0.11265001","-0.153","1.075","0.035526317","2555.372","0.943","17219497984","923000000","558124992","2025-04-19"
"910110","27.17702","25.316298","3.564272","15.458613","0","0.57608","0.13249","0.01842","0.06","0.074","0.017598223","14.428","1.007","94611349504","3690500096","2680574976","2025-04-19"
"910111","21.894896","20.365923","2.7210302","2.9019928","0","0.13347","0.11225","0.02981","0.02","-0.142","0.028543716","189.643","0.792","21808476160","2369999872","-804750016","2025-04-19"
"910112","29.674797","24.579124","12.63413","6.6756043","0","0.2259","0.39549","0.09017","0.064","0.113","0.027064733","176.919","1.03","314160611328","6805000192","14962124800","2025-04-19"
"910113","15.396895","13.9158325","2.3856804","1.7402784","0","0.11350001","0.16211","0.09838","0.068","-0.022","0.017283246","10.432","2.093","34346135552","2124000000","2127500032","2025-04-19"
"910114","27.207977","24.740932","365.90036","3.8534663","0","0.14372","4.06262","0.16377","-0.001","0.029","0.021297192","1564.706","0.923","77458522112","4107000064","3401750016","2025-04-19"
"910115","8.214975","7.7648396","1.5056","1.0392907","0","0.13086","0.18707001","0.054840002","0.021","0.465","0.036959764","122.184","0.677","128592478208","27672999936","7656500224","2025-04-19"
"910116","37.25","9.416357","1.3773041","1.0302192","0","0.02804","0.03658","0.05133","-0.063","-0.53","0.0562249","92.778","0.689","12091579392","1830499968","1283399936","2025-04-19"
"910117","11.393086","11.080947","1.7520578","1.9926635","0","0.16377","0.16209","0.08403","-0.031","-0.233","0.036127836","39.12","1.291","112485851136","20124000256","6668000256","2025-04-19"
"910118","21.393131","19.946619","1.7691153","2.646724","0","0.1193","0.08442","0.029979998","0.065","-0.072","0.029791815","126.714","1.036","40378421248","3614000128","-1466375040","2025-04-19"
"910119","0","12.302571","4.8789606","3.3044846","0","-0.00797","-0.0036199999","0.09104","0.012","0","0.022072883","161.15","0.921","33734492160","3152199936","1113662464","2025-04-19"
"910120","17.397306","23.092737","4.913465","2.747578","0","0.15907","0.30115","0.05151","-0.071","0","0.006905333","66.438","1.574","64754913280","-2464000000","4225374976","2025-04-19"
"910121","38.41063","19.487745","1.9556288","4.046985","0","0.10574","0.05251","0.03797","0.036","0.284","0.0","31.251","1.988","15898580992","777200000","243000000","2025-04-19"
"910122","40.05369","34.29885","6.9451876","12.794335","0","0.32272997","0.19184999","0.12133","0.14","0.19","0.0","1.434","7.888","57656430592","1595926016","700636096","2025-04-19"
"910123","71.58621","17.974026","3.3181493","2.7117994","0","0.03857","0.051620003","0.03083","0.169","0","0.027131785","73.089","1.625","35573383168","1939000064","1139250048","2025-04-19"
"910124","22.131184","13.919297","6.9382205","5.456729","0","0.25254","0.31228","0.06565","0.104","-0.039","0.0","257.164","0.996","21688254464","1940564992","992179520","2025-04-19"
